Policy Number,Customer ID,Customer Name,Mobile Number,Email Id,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Renewal,Premium (3yrs),Recommended Insurance
PN1000,CUST1000,ABC1,9876367891,abc1@gmail.com,39,Female,Divorced,3,City A,Doctor,1,Fire,Medium,4,Life,Full,No,1033,Vision
PN1001,CUST1001,ABC2,9876367892,abc2@gmail.com,36,Female,Single,1,City B,Artist,3,Accident,Medium,7,Vision,Partial,Yes,876,Life
PN1002,CUST1002,ABC3,9876367893,abc3@gmail.com,30,Male,Single,2,City D,Teacher,1,None,Medium,0,Dental,Partial,No,1900,Accident
PN1003,CUST1003,ABC,9876367894,abc4@gmail.com,31,Male,Single,0,City C,Doctor,0,Fire,High,4,None,Full,Yes,1154,Annuities
PN1004,CUST1004,ABC,9876367895,abc5@gmail.com,28,Female,Married,3,City B,Lawyer,2,Fire,High,5,Critical illness,Partial,No,969,Disability
PN1005,CUST1005,ABC,9876367896,abc6@gmail.com,39,Female,Single,4,City A,Artist,2,Theft,Low,8,Dental,Full,No,1936,Hospital indemnity
PN1006,CUST1006,ABC,9876367897,abc7@gmail.com,58,Male,Divorced,1,City D,Doctor,1,None,Medium,3,Vision,Partial,No,1221,Accident
PN1007,CUST1007,ABC,9876367898,abc8@gmail.com,49,Female,Divorced,3,City D,Lawyer,0,Theft,Medium,4,Annuities,Partial,Yes,1724,Dental
PN1008,CUST1008,ABC,9876367899,abc9@gmail.com,45,Female,Single,4,City B,Teacher,3,Theft,Low,0,Hospital indemnity,Full,Yes,1167,Critical illness
PN1009,CUST1009,ABC,9876367810,abc10@gmail.com,41,Male,Divorced,2,City A,Artist,0,Theft,High,8,Investments,Full,No,1408,Annuities
PN1010,CUST1010,ABC,9876367811,abc11@gmail.com,39,Male,Divorced,2,City A,Doctor,1,Fire,Medium,4,Life,Full,No,1033,Vision
PN1011,CUST1011,ABC,9876367812,abc12@gmail.com,36,Female,Single,2,City B,Doctor,3,Accident,Medium,7,Disability,Partial,Yes,876,Life
PN1012,CUST1012,ABC,9876367813,abc14@gmail.com,30,Female,Single,2,City D,Artist,1,None,Medium,0,Annuities,Partial,No,1900,Accident
PN1013,CUST1013,ABC,9876367814,abc15@gmail.com,31,Male,Single,2,City C,Teacher,0,Fire,High,4,Critical illness,Full,Yes,1154,Annuities
PN1014,CUST1014,ABC,9876367815,abc16@gmail.com,28,Male,Married,2,City B,Doctor,2,Fire,High,5,Hospital indemnity,Partial,No,969,Disability
PN1015,CUST1015,ABC,9876367816,abc17@gmail.com,39,Female,Single,2,City A,Lawyer,2,Theft,Low,8,Dental,Full,No,1936,Hospital indemnity
PN1016,CUST1016,ABC,9876367817,abc18@gmail.com,58,Female,Divorced,2,City D,Artist,1,None,Medium,3,Annuities,Partial,No,1221,Accident
PN1017,CUST1017,ABC,9876367818,abc19@gmail.com,49,Male,Divorced,2,City D,Doctor,0,Theft,Medium,4,Life,Partial,Yes,1724,Dental
PN1018,CUST1018,ABC,9876367819,abc20@gmail.com,45,Female,Single,2,City B,Lawyer,3,Theft,Low,0,Vision,Full,Yes,1167,Critical illness
PN1019,CUST1019,ABC,9876367820,abc21@gmail.com,41,Female,Divorced,2,City A,Teacher,0,Theft,High,8,Annuities,Full,No,1408,Annuities
